"OS_NAME,PT_NAME,Timebase,Derivation,Timestamp,Value,Manual"
"BME_TW,RAIN_G,5M,VAL,17:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,17:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,17:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,17:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,17:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,17:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,17:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,17:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,16:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,15:05 11-SEP-2011,0.000000,"
