Address,Heritage Value
480 Queenston Street  ,Individually Designated Heritage Properties 
14 Rolls Avenue  ,Individually Designated Heritage Properties 
1590 St Paul Street W ,Individually Designated Heritage Properties 
114 St Paul Street  ,Individually Designated Heritage Properties 
116 St Paul Street  ,Individually Designated Heritage Properties 
160 St Paul Street  ,Individually Designated Heritage Properties 
164 St Paul Street  ,Individually Designated Heritage Properties 
168 St Paul Street  ,Individually Designated Heritage Properties 
366 St Paul Street  ,Individually Designated Heritage Properties 
15 Trafalgar Street  ,Individually Designated Heritage Properties 
479 Vine Street  ,Individually Designated Heritage Properties 
33 Duke Street  ,Register Of Non Designated Heritage Properties
