Street,Postal Code,No of spaces,Location,TAG Serial No
Hamilton Street,D8,1,no 17,11296
Harcourt Terrace,,1,West side,
Hardwick Place,,1,Dermot O Dywer House,
Hardwick Road,,1,End Of Cul De sac,
Hardwick Street,D1,1,no 4 south side,6786
Harold Road,,1,No 12/14,
Harolds Cross Road,D6W,1,no 85,8011
Hasting Street,D4,1,no 22,11537
Hasting Street,D4,1,At 44 Hasting Street,
Hatch St Lwr,D2,1,,
Hatch Street Upper,D2,1,Southside Earlsfort terrace,7468
Herbert St,D2,1,At no 6 Herbert Street,05101
Herbert St,D2,2,,
Heytesbury Lane,D4,1,no47/49,10120
Highfield Grove,D6,1,no 27/28,11537
"Hill St, D1",D1,2,No 21,01947
"Hill St, D1",D1,2,,02052
Hogan Place,D2,1,No 30,
Holles St,D2,1,Holbrook House,02145
Hollis Street,,1,Hollis Row Westside,7725
Holly Bank Road,D9,1,No 37/39,6790
Holly Bank Road,D9,1,87/29,8296
Hollybank Road,D9,1,No 69,05103
Hollybank Road,,1,no 55,
Hollybank Road,,1,no 37,
Home Farm Road,D9,1,21/23,7549
Huband Road,,1,No 29,
Inchicore Road (Village),D8,1,,03245
Iona Crescent,D9,1,No 54,4344
Iona Road,D9,1,No 13,
Isolda Road,,1,no 3,
Jervis St,D1,2,Mary St,4271
Jervis St  (Poss 3 spaces),D1,2,FÁS,01877
Johnfield Road,D8,1,At no 1 Johnfield Road,04689
Kenilworth Park,D6,1,No 23,03022
Kenilworth Park,D6,1,No 17/19,8034
Kenilworth Road N/side,D6,1,No 8/9,8130
Kenilworth Sq Sth,D6,1,No 46/47,9590
Killarney Street,,1,,
Killester Ave,D5,1,No 94,
Killester Court,D5,1,No 2,03026
Kilmainham Lane,D8,1,,7660
King St South,D2,1,South Side,0293
Landstown Road,,2,L/S no 1,
Laugh Derg Road,,1,no 32,
Lawrence Grove,D3,1,No 26,7572
Leinster Place,D6,1,No 2/3,8551
Leinster Rd West,D6,1,No 26/27,10172
Leinster Rd West,D6,1,No 11,8308
Lennox St,D8,1,No 4/2,9843
Leo St,D7,2,,
Linenhall Parade,D7,1,No 9,02953
Lismore Road,,1,no 107,
Main St Finglas,D11,2,Wallace Travel Agent,5767
Main St Finglas,D11,2,,
Main St Raheny,D5,1,Health Centre,6054
"Main Street, Raheny",D5,1,At Raheny Health Centre,
Malachys Rd Glasnevin,D9,1,No 16/18,13762
Malpas Terrace,D8,1,No 5,11635
Manor St W/side,D7,1,No 77,11559
Manor Street,D7,1,Outside no. 4/5,10326
Margaret Place,D4,1,No 26,8140
Margaret Place,D4,1,End of Road,10056
Marlborough Road,D4,1,No 8,8145
Mary St,D1,2,West of Wolfetone St,9920
Mayor Street lower,,1,South side East of Commons street,
Mayor Street lower,,1,West of guild street,
Mayor Street lower,,1,North Side East of Commons Street,
Meath St,D8,1,West Side,8730
Mercer Health Centre,D2,2,Stephens St Lr,5908
Merrion Sq East W/side,D2,1,South of Mount St Lr,7726
Merrion Sq West,D2,1,West side,01032
Merrion Square South,D2,2,No 70,4374
Merrion View Ave,D4,1,No 76,9846
Millmount Ave,D9,1,No 45,11723
Millmount Terrace W/side,D9,1,No 5/6,6532
Molesworth St,D2,1,No 33,01129
Molesworth St,D2,1,No 17,02357
Montague St,D2,1,No 2,02443
Morehampton Lane,D4,1,at rear of 17 Pembroke Park,
Morning Star Ave,D7,1,West side,04326
Morning Star Ave,D7,2,West side,01515
Morning Star Ave,D7,1,East side,04326
Morning Star Ave,,1,Irish Council Of Disailibity,
Mount Pleasant Ave Lr,D6,1,No 11,0688
Mount Shannon Rd,D8,1,No 11,6534
Mount Shannon Rd,D8,1,No 10,11468
Mount St Upr,D2,1,No 37,01788
Moyne Road,D6,1,No 35,03999 03722
Nassau St/Dawson Lane,D2,1,At 3 Dawson - Gael-Linn,
New Bride St,D2,1,,02469
New Bride St L/S,D2,1,,7385
Noel Purcell Way N/side,D2,1,,14130
Norfolk Road,D7,1,At No 21 Norfolk Road,
Northbrook Ave,D3,1,Nos 12/13,
Northbrook Ave Upper,D3,,No 13,8153
Northbrook Terrace,D3,1,No 31,6538
Northbrook Terrace,D3,1,No 5/6,7579
Northumberland Sq,D1,1,,4298
Nth Great Georges St,D2,2,No 44,4270
Oaklands Park,D4,1,No 64,8154
Oblate Drive Inchicore,D8,1,No 25,7751
O'Connell Gardens,D4,1,,14173
Old Finglas Rd S/side,D11,1,Opposite No 42/44,8319
Ormond Rd South N/side,D9,1,No 3,8158
"O'Sullivan Ave,",D3,1,At no 3 O'Sullivan Ave,
Palace St W/side,D2,1,South of Dame St,7684
Park Drive,D6,1,No 43/44 W/side,11694
Park Drive,D6,1,No 44/45 W/side,11621
Parnell Road,D12,1,Arbutus Ave,02332
Parnell Sq North,D1,2,Gallery,04009
Parnell St,D1,1,East of Sth Georges St,6285
Pearse Grove,D2,1,No 5,04726
Pearse Grove,D2,1,At no 5 Pearse Grove,04726
Pearse St,D2,1,No 109,
Pembroke Cottages,D4,1,No 52,6813
Pembroke Cottages,D4,1,No 81,01851
Pembroke Road,D4,2,Nos 46/48,02326
Powerscourt,D4,1,Off Mount St,
Prospect Ave,D9,1,No 37,6594
Prospect Square,,1,No 15,
Raheny Road,D5,1,No 87,01797
Ranelagh,,1,No 15/17,
Ranelagh Ave,,1,No 12,
Rathfarnham Rd W/side,D6W,1,Opp L/S No 2,11623
Rathmines Close,D6,1,No15/16,10290
Rathmines Close,,1,No 3/4,
Rathmines Close,D6,1,No 25/26,8324
Rathmines Rd Upper W/side,D6,1,No 217,0454
Rathmines Road Upper,D6,1,At no 2 Rathmines Road Upper,
Rathmore Park,,1,No 5,
Raymond St,D8,1,No 36,9811
Raymond St,D8,1,No 6,7588
Raymond St,D8,1,No 146,9812
Reuben Street,,1,No 13,
Ringsend Park,D4,1,No 123,02444
Ringsend Park,D4,1,No 90,8325
Ringsend Park,D4,1,At no 76 Ringsend Park,
