X,Y,OBJECTID,FCsubtype,NAMN1
-8.487385000000188,54.271232499106027,1,1,Sligo
-8.494181500000195,54.186332999105161,2,1,Collooney
-9.159260500000187,54.113052499104398,3,1,Ballina
-8.520787000000182,54.087969999104132,4,1,Ballymote
-6.411717500000179,54.000091499103206,5,1,Dundalk
-9.136663500000198,53.982327999103049,6,1,Foxford
-8.300512500000195,53.964416999102859,7,1,Boyle
-8.103707500000185,53.938561999102632,8,1,Carrick-on-Shannon
-7.916057000000195,53.858777499101791,9,1,Dromod
-9.289426000000191,53.847307499101667,10,1,Castlebar
-9.200520500000181,53.827097499101484,11,1,Manulla Junction
-9.511245500000198,53.796890499101181,12,1,Westport
-8.488736500000186,53.765672999100886,13,1,Castlerea
-8.759239500000179,53.761104499100838,14,1,Ballyhaunis
-7.790312000000199,53.725517499100484,15,1,Longford
-9.000106000000187,53.717750499100404,16,1,Claremorris
-6.335023500000204,53.710821499100327,17,1,Drogheda
-7.591559000000189,53.686603499100094,18,1,Edgeworthstown
-6.243854000000197,53.678553999100011,19,1,Laytown
-6.225105000000184,53.650499499099745,20,1,Mosney
-6.220932000000204,53.644255499099678,21,1,Gormanston
-8.211503000000192,53.629097499099508,22,1,Roscommon
-6.179863500000181,53.607695999099299,23,1,Balbriggan
-6.116648000000198,53.571025999098964,24,1,Skerries
-7.338903000000187,53.521687999098468,25,1,Mullingar
-6.142792000000186,53.521178999098474,26,1,Rush
-6.156349000000205,53.450271999097794,27,1,Malahide
-7.939653000000192,53.427972499097571,28,1,Athlone
-6.840504500000178,53.413043999097425,29,1,Innfield
-6.083691000000186,53.390049999097194,30,1,Howth
-6.249521500000185,53.351791999096847,31,1,Dublin (Connolly)
-8.239186000000187,53.336261999096685,32,1,Ballinasloe
-6.295298500000199,53.345832999096771,33,1,Dublin(Heuston)
-8.473797000000189,53.342794999096768,34,1,Woodlawn
-7.620512500000188,53.333685999096666,35,1,Clara
-8.606695500000201,53.323473999096571,36,1,Attymon
-8.748658500000204,53.302524499096378,37,1,Athenry
-9.048094000000191,53.274120499096099,38,1,Galway
-7.4993240000002,53.269758999096062,39,1,Tullamore
-6.809654500000192,53.185414499095273,40,1,Newbridge
-6.96522250000018,53.154374999094983,41,1,Kildare
-7.201183000000186,53.153576499094989,42,1,Portarlington
-7.068319500000201,53.144433499094902,43,1,Monasterevin
-6.064009500000197,53.14639749909491,44,1,Greystones
-7.304005500000187,53.035637999093886,45,1,Portlaoise
-6.976570000000181,52.992893499093498,46,1,Athy
-6.066071500000191,52.988597499093444,47,1,Wicklow
-7.796555000000185,52.958362999093197,48,1,Roscrea
-8.023078000000197,52.936515499092984,49,1,Cloghjordan
-6.215727000000186,52.938930499092983,50,1,Rathdrum
-7.607512500000182,52.898188499092633,51,1,Ballybrophy
-8.195360000000193,52.8599079990923,52,1,Nenagh
-8.975397500000186,52.84031299909212,53,1,Ennis
-6.922894000000184,52.843085999092139,54,1,Carlow
-6.162136500000202,52.798827999091749,55,1,Arklow
-7.797725000000185,52.797114499091741,56,1,Templemore
-8.442094000000196,52.76615149909145,57,1,Birdhill
-8.501293000000205,52.691936499090787,58,1,Castleconnell
-6.948751000000186,52.701534999090896,59,1,Bagenalstown
-6.292468500000182,52.670364999090616,60,1,Gorey
-7.82190300000019,52.677230999090675,61,1,Thurles
-7.226890500000195,52.652580999090468,62,1,Kilkenny
-8.60635450000018,52.656120499090484,63,1,Limerick
-7.154344500000178,52.513370499089262,64,1,Thomastown
-8.204457500000188,52.497470999089117,65,1,Limerick Junction
-6.568806000000194,52.501865499089156,66,1,Enniscorthy
-8.171230500000178,52.4700949990889,67,1,Tipperary
-7.921141000000206,52.375745999088089,68,1,Caher
-7.687379000000192,52.361854499087983,69,1,Clonmel
-7.402704000000198,52.347839499087861,70,1,Carrick-on-Suir
-8.661018500000182,52.339799499087761,71,1,Charleville
-6.461877500000185,52.341387499087809,72,1,Wexford
-6.956042500000193,52.284163999087312,73,1,Campile
-6.86729250000019,52.284614499087311,74,1,Ballycullane
-6.391009500000195,52.271194499087208,75,1,Rosslare Strand
-9.698882000000197,52.27198799908723,76,1,Tralee
-6.756294500000195,52.270225499087196,77,1,Wellingtonbridge
-7.10646250000019,52.264739999087162,78,1,Waterford
-6.333993500000191,52.254574999087076,79,1,Rosslare Harbour
-6.549750500000187,52.230083999086865,80,1,Bridgetown
-9.552423000000175,52.175105999086405,81,1,Farranfore
-8.662459000000183,52.13598249908609,82,1,Mallow
-8.893986000000183,52.129566499086039,83,1,Banteer
-9.216922000000181,52.086332999085698,84,1,Rathmore
-9.071168500000196,52.077455499085602,85,1,Millstreet
-9.505965000000202,52.069328999085542,86,1,Killarney
-8.453708500000204,51.902522999084212,87,1,Cork
