OS_NAME,PT_NAME,Timebase,Derivation,Timestamp,Value,Manual
BME_TW,RAIN_G,5M,VAL,26/10/2011 16:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 16:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 16:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 16:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:20,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 15:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:20,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 14:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:20,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 13:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:20,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 12:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:20,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 11:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:20,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 10:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:20,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 09:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:20,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:15,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:10,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:05,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 08:00,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 07:55,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 07:50,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 07:45,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 07:40,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 07:35,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 07:30,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 07:25,0,
BME_TW,RAIN_G,5M,VAL,26/10/2011 07:20,0,
